time,acc.x_y,time,acc.y_y,time,acc.z_y,time,gyro.x_y,time,gyro.y_y,time,gyro.z_y,avgx,avgy,avgz
1400155,0.058800865,1400155,0.108346008,1400155,0.82125634,1400155,-40.61316681,1400155,12.37427425,1400155,0.576868355,,,
1400655,-0.007299551,1400655,-0.047928277,1400655,0.868260205,1400655,7.807455063,1400655,-5.243147373,1400655,-0.729836583,,,
1401155,0.001909719,1401155,-0.012570444,1401155,1.042798877,1401155,-0.68633455,1401155,-4.913201809,1401155,-2.052504063,,,
1401655,-0.060645986,1401655,0.202031896,1401655,0.916680932,1401655,6.001897812,1401655,-8.448771477,1401655,0.724414468,,,
1402155,-0.025476813,1402155,-0.150752634,1402155,0.879364133,1402155,0.394297957,1402155,2.667199135,1402155,8.938908577,,,
1402655,0.006045373,1402655,-0.024692714,1402655,0.98846215,1402655,1.602928162,1402655,0.344237149,1402655,-3.402944565,,,
1403155,0.00714034,1403155,-0.002927754,1403155,0.987367809,1403155,5.027052402,1403155,-57.14539337,1403155,0.278295904,,,
1403655,-0.022357613,1403655,0.083784215,1403655,0.92610842,1403655,-2.024636269,1403655,0.862309396,1403655,-1.41261673,,,
1404155,0.000907981,1404155,-0.031061059,1404155,1.062846541,1404155,1.078553796,1404155,-5.203840256,1404155,3.933915615,,,
1404655,-0.015036237,1404655,-0.009813432,1404655,0.966591835,1404655,-1.880360246,1404655,-2.341745377,1404655,-9.985177994,,,
1405155,0.07178542,1405155,0.002193859,1405155,0.939171672,1405155,2.718150139,1405155,-2.86673069,1405155,-3.058743715,,,
1405655,0.093740039,1405655,-0.093516007,1405655,1.129323363,1405655,2.087925196,1405655,-2.153588057,1405655,-2.894296646,,,
1406155,-0.07737115,1406155,0.105021134,1406155,0.884102047,1406155,-0.624987662,1406155,2.520307302,1406155,-0.571861386,,,
1406655,-0.066910796,1406655,0.0887224,1406655,1.167542338,1406655,-26.24465942,1406655,-2.737350464,1406655,2.132069111,,,
1407155,-0.060226228,1407155,-0.122805186,1407155,0.843944132,1407155,3.196037292,1407155,12.51236439,1407155,4.824061394,,,
1407655,0.228803724,1407655,0.066138446,1407655,1.151597381,1407655,-1.535167575,1407655,-23.38772392,1407655,0.01394404,,,
1408155,0.014197787,1408155,-0.089439563,1408155,1.05354774,1408155,1.032430291,1408155,-0.09660504,1408155,2.980353832,,,
1408655,0.054895304,1408655,0.233225837,1408655,1.122669101,1408655,-10.72741032,1408655,-4.217817783,1408655,-0.143720686,,,
1409155,0.017255742,1409155,0.047017023,1409155,1.121788263,1409155,10.66979218,1409155,23.32743645,1409155,-3.553035498,,,
1409655,-0.140969873,1409655,0.073038042,1409655,1.036258459,1409655,-2.165617704,1409655,9.221115112,1409655,1.173473835,,,
1410155,-0.043833364,1410155,0.267843545,1410155,1.120084047,1410155,-2.494615793,1410155,6.772705555,1410155,1.741069555,,,
1410655,-0.187386721,1410655,-0.065805264,1410655,0.898131013,1410655,-7.21464777,1410655,-11.12484932,1410655,2.055320263,,,
1411155,0.058832627,1411155,-0.315396369,1411155,1.014486909,1411155,20.74909973,1411155,-0.698714793,1411155,-2.112389565,,,
1411655,0.133627564,1411655,-0.15981552,1411655,0.955732763,1411655,-15.41265488,1411655,3.49618268,1411655,-3.723260164,,,
1412155,-0.112297468,1412155,0.227914557,1412155,0.981918514,1412155,-6.529568672,1412155,-16.73959541,1412155,1.983797312,,,
1412655,0.06171868,1412655,-0.190192133,1412655,1.060835004,1412655,-10.55927086,1412655,44.85354614,1412655,3.119571924,,,
1413155,0.03092929,1413155,-0.126087055,1413155,1.088134766,1413155,-65.08828735,1413155,-13.40195274,1413155,0.192399249,,,
1413655,-0.013616567,1413655,0.105211251,1413655,1.025348067,1413655,1.68615675,1413655,-3.933876753,1413655,1.613554716,,,
1414155,0.000394571,1414155,-0.023627711,1414155,0.995419681,1414155,4.661577225,1414155,0.060412318,1414155,1.674781799,,,
1414655,0.037163999,1414655,0.002676708,1414655,1.005310774,1414655,-5.927005768,1414655,5.113708973,1414655,-1.575177193,,,
1415155,-0.029781671,1415155,0.099616311,1415155,0.939863384,1415155,-1.195566177,1415155,-1.471985817,1415155,0.70390439,,,
1415655,-0.122341372,1415655,-0.157193169,1415655,0.85385555,1415655,-0.34926793,1415655,5.171397686,1415655,-1.999517202,,,
1416155,-0.016662978,1416155,-0.005637393,1416155,0.88282305,1416155,-43.28804779,1416155,7.164947987,1416155,1.344406486,,,
1416655,0.019602224,1416655,-0.145391777,1416655,0.983486474,1416655,13.13921165,1416655,-0.008670543,1416655,3.887448788,,,
1417155,0.037384335,1417155,-0.004874905,1417155,0.987979949,1417155,-6.562494755,1417155,12.07491589,1417155,-3.275901079,,,
1417655,0.086569838,1417655,-0.098304033,1417655,0.974933028,1417655,-1.034911036,1417655,2.417973518,1417655,-0.957453728,,,
1418155,0.014520554,1418155,-0.116852105,1418155,1.042503953,1418155,-0.249912858,1418155,-0.160717309,1418155,3.760525942,,,
1418655,-0.100334004,1418655,0.0503061,1418655,0.911729693,1418655,23.84389687,1418655,-6.859601498,1418655,-1.368063331,,,
1419155,0.009831618,1419155,0.082589224,1419155,0.997844219,1419155,-1.145628333,1419155,2.943766117,1419155,-0.953981519,,,
1419655,0.054489676,1419655,0.181209996,1419655,1.113987803,1419655,-10.95765781,1419655,2.528865099,1419655,1.083145142,,,
1420155,0.028932502,1420155,0.337370068,1420155,1.136052728,1420155,-5.646680832,1420155,-3.843244076,1420155,5.311353683,,,
1420655,-0.017394578,1420655,-0.253792256,1420655,0.991354287,1420655,16.42585373,1420655,-4.675853729,1420655,-7.134244919,,,
1421155,-0.018491192,1421155,-0.127499059,1421155,0.855963409,1421155,4.592064857,1421155,-5.012965679,1421155,-0.713773966,,,
1421655,-0.086065181,1421655,0.086189196,1421655,0.972073495,1421655,-0.405381948,1421655,-0.598291814,1421655,-1.482677698,,,
1422155,0.160182715,1422155,-0.032874651,1422155,1.082939506,1422155,0.055816539,1422155,9.556812286,1422155,6.542328358,,,
1422655,0.022936847,1422655,0.101203047,1422655,0.898556829,1422655,9.747053146,1422655,3.153112173,1422655,-3.004101038,,,
1423155,0.007557295,1423155,-0.001709149,1423155,1.002609491,1423155,-0.170887604,1423155,0.292021215,1423155,0.180249855,,,
