time,acc.x_y,acc.y_y,acc.z_y,gyro.x_y,gyro.y_y,gyro.z_y,,time,x acc,acc.z_y,gyro.z_y
4283051,-0.107242547,-0.141164392,0.84058702,33.38516998,-2.233118773,-0.18306382,,4.283051,-107.242547,0.84058702,-0.18306382
4283151,-2.79E-05,0.149361655,0.957869053,64.32807922,-10.09985733,-1.16863668,,4.283151,-0.027918146,0.957869053,-1.16863668
4283251,0.131451786,0.072696075,1.009913087,20.07770348,-2.609026432,0.059348434,,4.283251,131.4517856,1.009913087,0.059348434
4283351,0.024875097,0.217331976,1.065894008,-51.3074913,-8.621845245,-1.847966194,,4.283351,24.87509698,1.065894008,-1.847966194
4283451,0.07807523,0.216040343,0.941718996,-35.51615906,-8.682312965,-2.773134708,,4.283451,78.07523012,0.941718996,-2.773134708
4283551,-0.151585266,-0.005436308,0.841241837,-48.48720932,0.181629986,-5.690749645,,4.283551,-151.585266,0.841241837,-5.690749645
4283651,0.100454524,0.116300665,1.157914042,-56.00379944,22.37002182,-0.279275298,,4.283651,100.4545242,1.157914042,-0.279275298
4283751,0.004876741,-0.149565816,0.874897301,41.41591644,-14.32333755,-5.857742786,,4.283751,4.876740742,0.874897301,-5.857742786
4283851,-0.013751729,0.059555113,0.945079565,28.82258224,-5.623371124,-6.803022385,,4.283851,-13.75172939,0.945079565,-6.803022385
4283951,0.132875949,0.033548549,1.11190331,18.88326454,5.214419365,-4.175449848,,4.283951,132.8759491,1.11190331,-4.175449848
4284051,0.009362596,-0.050485343,0.963674963,-5.674298763,4.834877014,-0.967765749,,4.284051,9.362596087,0.963674963,-0.967765749
4284151,0.008966584,0.019906858,0.859891892,-9.459011078,0.762999237,2.280392408,,4.284151,8.966583759,0.859891892,2.280392408
4284251,-0.013107625,0.006718327,0.959188998,-8.038011551,19.75024223,3.082716942,,4.284251,-13.10762484,0.959188998,3.082716942
4284351,-0.001002745,0.062184289,0.917176545,-0.680601716,33.04244232,5.392149448,,4.284351,-1.002744772,0.917176545,5.392149448
4284451,0.056980729,0.014379023,0.929882646,18.17708778,38.44527817,4.747682571,,4.284451,56.9807291,0.929882646,4.747682571
4284551,-0.026630955,-0.205827981,0.824347794,24.62864304,-64.38871765,2.235691547,,4.284551,-26.63095482,0.824347794,2.235691547
4284651,-0.074784614,-0.00670602,0.853971601,8.752039909,-43.91240692,5.689130783,,4.284651,-74.78461415,0.853971601,5.689130783
4284751,-0.262929767,-0.212179348,0.888841748,-16.70051193,-6.484146118,8.012397766,,4.284751,-262.9297674,0.888841748,8.012397766
4284851,-0.05363759,-0.132262141,0.865178943,0.723314524,-26.11654091,4.672810078,,4.284851,-53.63759026,0.865178943,4.672810078
4284951,0.075909957,0.249734625,1.041467905,13.87796783,-24.0644207,-1.828330994,,4.284951,75.90995729,1.041467905,-1.828330994
4285051,-0.071585998,-0.122725993,0.7929492,-3.333079815,7.901199818,-2.337140799,,4.285051,-71.58599794,0.7929492,-2.337140799
4285151,0.034171008,-0.042853143,0.945020914,19.66560745,-138.1880493,-3.370978117,,4.285151,34.17100757,0.945020914,-3.370978117
4285251,-0.0922198,0.088148989,1.099908352,-46.57859039,103.6953201,-5.753482819,,4.285251,-92.21979976,1.099908352,-5.753482819
