"acc.x_x","acc.x_y","acc.y_x","acc.y_y","acc.z_x","acc.z_y","gyro.x_x","gyro.x_y","gyro.y_x","gyro.y_y","gyro.z_x","gyro.z_y"
233955,-0.01859900914,233955,0.01316945627,233955,0.9944148064,233955,0.1326815337,233955,-0.1225003451,233955,0.1014482081,
234055,-0.0195142813,234055,0.01310628746,234055,0.9924326539,234055,0.03953422979,234055,-0.08481433988,234055,0.1916055679,
234155,-0.01861254126,234155,0.01254956424,234155,0.9903492928,234155,0.1594698131,234155,-0.1070962697,234155,0.2489835918,
234255,-0.01956894621,234255,0.01316330954,234255,0.9940613508,234255,-0.00382438628,234255,-0.00668215286,234255,0.1198283583,
234355,-0.01867821254,234355,0.01302131079,234355,0.9894761443,234355,0.1245834008,234355,-0.09797993302,234355,0.1312058568,
234455,-0.01864454895,234455,0.01296471339,234455,0.9941987991,234455,0.1283467859,234455,-0.05723956227,234455,0.07388782501,
234555,-0.01811378263,234555,0.01359143667,234555,0.9910220504,234555,0.1574291289,234555,-0.003321824363,234555,0.08302041143,
234655,-0.01982215606,234655,0.01263927389,234655,0.992795527,234655,0.219451949,234655,-0.07931625843,234655,0.08723334223,
234755,-0.01969549805,234755,0.01278086659,234755,0.9947302938,234755,0.1908763796,234755,-0.03358663991,234755,0.1097915173,
234855,-0.01974435709,234855,0.01490439381,234855,0.9926245213,234855,0.07135628909,234855,0.004742634017,234855,0.1584945917,
234955,-0.01965974271,234955,0.01298171096,234955,0.9951876998,234955,0.1881900728,234955,-0.1226878837,234955,0.2004040629,
235055,-0.01914176717,235055,0.0128031373,235055,0.9914683104,235055,0.08538761735,235055,-0.02762901969,235055,0.186602056,
235155,-0.01837309264,235155,0.01321216952,235155,0.9948504567,235155,0.1922764629,235155,-0.03876909241,235155,0.1022452638,
235255,-0.01818630658,235255,0.01398450322,235255,0.992734313,235255,0.1073705256,235255,0.02488957345,235255,0.164471373,
235355,-0.02042311989,235355,0.0135949906,235355,0.9908413291,235355,0.1643945128,235355,-0.05723899975,235355,0.2292868942,
235455,-0.01949922554,235455,0.01224384177,235455,0.99247998,235455,0.09757171571,235455,-0.08618661016,235455,0.1342030615,
235555,-0.01899533533,235555,0.01374193188,235555,0.9912608862,235555,-0.02596045285,235555,0.02062849142,235555,0.06257030368,
235655,-0.01942046732,235655,0.01449451875,235655,0.9902778864,235655,0.09885850549,235655,-0.08167606592,235655,0.06588930637,
235755,-0.01882942021,235755,0.01290586405,235755,0.9952598214,235755,0.06917426735,235755,-0.04197253659,235755,0.02357989736,
235855,-0.0199753046,235855,0.01225291286,235855,0.9934012294,235855,0.1773050278,235855,-0.05706074089,235855,0.1310479939,
235955,-0.01946922764,235955,0.01354118064,235955,0.9934668541,235955,0.1207707822,235955,-0.102282688,235955,0.1302262247,
236055,-0.02036190219,236055,0.01237495802,236055,0.992081821,236055,0.1574109495,236055,-0.06729296595,236055,0.1414011419,
236155,-0.01979723759,236155,0.01300125662,236155,0.9916005135,236155,0.09755068272,236155,-0.05275246873,236155,0.04716214165,
236255,-0.01973616891,236255,0.01230491325,236255,0.993737936,236255,0.2030532062,236255,-0.1368401349,236255,0.1926824301,
236355,-0.01774653792,236355,0.01520153787,236355,0.9932960868,236355,-0.0267805811,236355,-0.04343040287,236355,0.2774613202,
236455,-0.01892137714,236455,0.013930724,236455,0.9921277165,236455,0.1372522116,236455,-0.02976378798,236455,0.09305173904,
236555,-0.0188173186,236555,0.01341456175,236555,0.9916158915,236555,-0.02875579335,236555,-0.06486910582,236555,0.2423992902,
236655,-0.01830529608,236655,0.01396386791,236655,0.9956153035,236655,0.2030925751,236655,-0.1535725892,236655,0.1193086654,
